====== He (3100) into Bulk W                    =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = He   Energy = 3700 keV
============= TARGET MATERIAL ======================================
Layer  1 : Bulk W
Layer Width =     7.E+04 A ;
  Layer # 1- Density = 6.338E22 atoms/cm3 = 19.35 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
 Total Target Vacancies     = 40 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
700010.E-03  1724.30E-08  2630.36E-08  
140001.E-02  4615.76E-08  1082.76E-07  
210001.E-02  4278.61E-08  1138.36E-07  
280001.E-02  4908.62E-08  1235.46E-07  
350001.E-02  4988.62E-08  1116.07E-07  
420001.E-02  4980.05E-08  1167.98E-07  
490001.E-02  5000.05E-08  1317.59E-07  
560001.E-02  5292.91E-08  1009.74E-07  
630001.E-02  5122.91E-08  9970.13E-08  
700001.E-02  5304.34E-08  1466.14E-07  
770001.E-02  5384.34E-08  1378.64E-07  
840001.E-02  5520.06E-08  1235.34E-07  
910001.E-02  5561.48E-08  1216.24E-07  
980001.E-02  5467.20E-08  1451.44E-07  
105000.E-01  5590.06E-08  1058.45E-07  
112000.E-01  5800.06E-08  1157.99E-07  
119000.E-01  5805.77E-08  1182.78E-07  
126000.E-01  5865.77E-08  1243.01E-07  
133000.E-01  5894.34E-08  1274.56E-07  
140000.E-01  6008.63E-08  1238.02E-07  
147000.E-01  6058.63E-08  1221.48E-07  
154000.E-01  6375.78E-08  1340.19E-07  
161000.E-01  6375.78E-08  1377.11E-07  
168000.E-01  6458.64E-08  1406.05E-07  
175000.E-01  6604.35E-08  1452.12E-07  
182000.E-01  6597.21E-08  1530.87E-07  
189000.E-01  6891.50E-08  1604.88E-07  
196000.E-01  6920.07E-08  1599.44E-07  
203000.E-01  7127.21E-08  1438.24E-07  
210000.E-01  7050.07E-08  1476.90E-07  
217000.E-01  7327.22E-08  1720.78E-07  
224000.E-01  7500.08E-08  1970.86E-07  
231000.E-01  7550.08E-08  1627.29E-07  
238000.E-01  7612.93E-08  1857.51E-07  
245000.E-01  7748.65E-08  1828.48E-07  
252000.E-01  8111.51E-08  1437.26E-07  
259000.E-01  8110.08E-08  1818.96E-07  
266000.E-01  8334.37E-08  1781.62E-07  
273000.E-01  8332.94E-08  1711.15E-07  
280000.E-01  8935.80E-08  1690.58E-07  
287000.E-01  9060.09E-08  2007.13E-07  
294000.E-01  9304.38E-08  1979.00E-07  
301000.E-01  9468.67E-08  2212.35E-07  
308000.E-01  9744.38E-08  2049.18E-07  
315000.E-01  1012.15E-07  2245.59E-07  
322000.E-01  1046.01E-07  2215.26E-07  
329000.E-01  1071.01E-07  2315.13E-07  
336000.E-01  1109.44E-07  2613.73E-07  
343000.E-01  1169.87E-07  2285.79E-07  
350000.E-01  1195.01E-07  2855.24E-07  
357000.E-01  1206.15E-07  2591.17E-07  
364000.E-01  1295.01E-07  2592.79E-07  
371000.E-01  1307.73E-07  2599.44E-07  
378000.E-01  1414.16E-07  2881.09E-07  
385000.E-01  1449.73E-07  2888.58E-07  
392000.E-01  1501.59E-07  3039.97E-07  
399000.E-01  1636.16E-07  3047.50E-07  
406000.E-01  1703.73E-07  3295.93E-07  
413000.E-01  1805.88E-07  3136.08E-07  
420000.E-01  1917.73E-07  3692.87E-07  
427000.E-01  2048.45E-07  3796.34E-07  
434000.E-01  2183.74E-07  4225.55E-07  
441000.E-01  2378.02E-07  4328.84E-07  
448000.E-01  2568.74E-07  4486.44E-07  
455000.E-01  2866.89E-07  4943.99E-07  
462000.E-01  3160.89E-07  5601.91E-07  
469000.E-01  3527.04E-07  5766.81E-07  
476000.E-01  4027.47E-07  6335.32E-07  
483000.E-01  4655.19E-07  7310.61E-07  
490000.E-01  5415.63E-07  8179.52E-07  
497000.E-01  6419.64E-07  9115.55E-07  
504000.E-01  7735.22E-07  1000.55E-06  
511000.E-01  9311.38E-07  1173.70E-06  
518000.E-01  1147.77E-06  1299.51E-06  
525000.E-01  1416.19E-06  1461.50E-06  
532000.E-01  1702.19E-06  1622.61E-06  
539000.E-01  1998.55E-06  1712.89E-06  
546000.E-01  2231.14E-06  1653.47E-06  
553000.E-01  2278.35E-06  1509.65E-06  
560000.E-01  2039.26E-06  1170.99E-06  
567000.E-01  1554.82E-06  7409.72E-07  
574000.E-01  9508.24E-07  3858.97E-07  
581000.E-01  4395.04E-07  1545.49E-07  
588000.E-01  1518.16E-07  4538.73E-08  
595000.E-01  3451.46E-08  8186.31E-09  
602000.E-01  5628.63E-09  1054.41E-09  
609000.E-01  5857.20E-10  1477.97E-10  
616000.E-01  0000.00E+00  0000.00E+00  
623000.E-01  0000.00E+00  0000.00E+00  
630000.E-01  0000.00E+00  0000.00E+00  
637000.E-01  0000.00E+00  0000.00E+00  
644000.E-01  0000.00E+00  0000.00E+00  
651000.E-01  0000.00E+00  0000.00E+00  
658000.E-01  0000.00E+00  0000.00E+00  
665000.E-01  0000.00E+00  0000.00E+00  
672000.E-01  0000.00E+00  0000.00E+00  
679000.E-01  0000.00E+00  0000.00E+00  
686000.E-01  0000.00E+00  0000.00E+00  
693000.E-01  0000.00E+00  0000.00E+00  
700000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  0  eV/Vacancy
