====== Ni (31000) into Layer 1                  =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Ni   Energy = 31000 keV
============= TARGET MATERIAL ======================================
Layer  1 : 550C Ni
Layer Width =     7.E+04 A ;
  Layer # 1- Density = 8.926E22 atoms/cm3 = 8.699 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
 Total Target Vacancies     = 14553 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
700010.E-03  5991.45E-06  5133.83E-05  
140001.E-02  6343.88E-06  5590.05E-05  
210001.E-02  6520.55E-06  5838.36E-05  
280001.E-02  6681.70E-06  6141.04E-05  
350001.E-02  6845.53E-06  6326.13E-05  
420001.E-02  7017.94E-06  6484.36E-05  
490001.E-02  7216.57E-06  6830.93E-05  
560001.E-02  7422.89E-06  7014.07E-05  
630001.E-02  7605.60E-06  7212.25E-05  
700001.E-02  7816.66E-06  7741.74E-05  
770001.E-02  8048.75E-06  7756.58E-05  
840001.E-02  8295.33E-06  8286.46E-05  
910001.E-02  8522.36E-06  8529.29E-05  
980001.E-02  8800.72E-06  8946.20E-05  
105000.E-01  9069.50E-06  9402.84E-05  
112000.E-01  9331.89E-06  9663.10E-05  
119000.E-01  9638.57E-06  1041.28E-04  
126000.E-01  9942.59E-06  1060.03E-04  
133000.E-01  1025.59E-05  1082.90E-04  
140000.E-01  1059.67E-05  1150.05E-04  
147000.E-01  1093.93E-05  1212.52E-04  
154000.E-01  1130.55E-05  1268.81E-04  
161000.E-01  1169.30E-05  1327.97E-04  
168000.E-01  1206.17E-05  1381.79E-04  
175000.E-01  1246.19E-05  1432.50E-04  
182000.E-01  1290.32E-05  1548.70E-04  
189000.E-01  1330.07E-05  1598.78E-04  
196000.E-01  1373.45E-05  1687.45E-04  
203000.E-01  1421.34E-05  1767.33E-04  
210000.E-01  1466.49E-05  1851.02E-04  
217000.E-01  1518.39E-05  1920.73E-04  
224000.E-01  1571.61E-05  2024.74E-04  
231000.E-01  1620.74E-05  2097.51E-04  
238000.E-01  1678.73E-05  2225.21E-04  
245000.E-01  1736.09E-05  2306.27E-04  
252000.E-01  1800.16E-05  2435.85E-04  
259000.E-01  1856.22E-05  2549.62E-04  
266000.E-01  1924.22E-05  2668.41E-04  
273000.E-01  1990.67E-05  2763.61E-04  
280000.E-01  2066.48E-05  2988.96E-04  
287000.E-01  2144.41E-05  3071.51E-04  
294000.E-01  2221.85E-05  3278.34E-04  
301000.E-01  2305.21E-05  3407.51E-04  
308000.E-01  2399.10E-05  3622.16E-04  
315000.E-01  2496.11E-05  3787.31E-04  
322000.E-01  2600.62E-05  4047.86E-04  
329000.E-01  2709.98E-05  4295.08E-04  
336000.E-01  2821.25E-05  4596.91E-04  
343000.E-01  2921.52E-05  4793.04E-04  
350000.E-01  3038.70E-05  5126.55E-04  
357000.E-01  3149.70E-05  5466.05E-04  
364000.E-01  3244.71E-05  5784.82E-04  
371000.E-01  3337.25E-05  6203.32E-04  
378000.E-01  3410.81E-05  6567.99E-04  
385000.E-01  3478.12E-05  6987.78E-04  
392000.E-01  3527.17E-05  7275.06E-04  
399000.E-01  3595.55E-05  7536.49E-04  
406000.E-01  3614.11E-05  7533.71E-04  
413000.E-01  3595.51E-05  7601.58E-04  
420000.E-01  3528.80E-05  7467.72E-04  
427000.E-01  3357.17E-05  7063.22E-04  
434000.E-01  3074.40E-05  6408.21E-04  
441000.E-01  2703.91E-05  5569.17E-04  
448000.E-01  2237.92E-05  4531.29E-04  
455000.E-01  1723.24E-05  3411.97E-04  
462000.E-01  1210.20E-05  2358.24E-04  
469000.E-01  7551.13E-06  1420.22E-04  
476000.E-01  4270.84E-06  7881.56E-05  
483000.E-01  2012.55E-06  3483.78E-05  
490000.E-01  8232.08E-07  1403.38E-05  
497000.E-01  2773.46E-07  4520.32E-06  
504000.E-01  6868.64E-08  1071.21E-06  
511000.E-01  1234.30E-08  1499.36E-07  
518000.E-01  1400.01E-09  2584.68E-08  
525000.E-01  8714.37E-10  1322.00E-08  
532000.E-01  0000.00E+00  0000.00E+00  
539000.E-01  0000.00E+00  0000.00E+00  
546000.E-01  0000.00E+00  0000.00E+00  
553000.E-01  0000.00E+00  0000.00E+00  
560000.E-01  0000.00E+00  0000.00E+00  
567000.E-01  0000.00E+00  0000.00E+00  
574000.E-01  0000.00E+00  0000.00E+00  
581000.E-01  0000.00E+00  0000.00E+00  
588000.E-01  0000.00E+00  0000.00E+00  
595000.E-01  0000.00E+00  0000.00E+00  
602000.E-01  0000.00E+00  0000.00E+00  
609000.E-01  0000.00E+00  0000.00E+00  
616000.E-01  0000.00E+00  0000.00E+00  
623000.E-01  0000.00E+00  0000.00E+00  
630000.E-01  0000.00E+00  0000.00E+00  
637000.E-01  0000.00E+00  0000.00E+00  
644000.E-01  0000.00E+00  0000.00E+00  
651000.E-01  0000.00E+00  0000.00E+00  
658000.E-01  0000.00E+00  0000.00E+00  
665000.E-01  0000.00E+00  0000.00E+00  
672000.E-01  0000.00E+00  0000.00E+00  
679000.E-01  0000.00E+00  0000.00E+00  
686000.E-01  0000.00E+00  0000.00E+00  
693000.E-01  0000.00E+00  0000.00E+00  
700000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  0  eV/Vacancy
