Study Name	W_beamline_2018_02_01
Sample Name	3.7MeV_He_in_W
Run Name	run02
Operator	Cody
Date	2/1/2018
Time	10:34 AM
Sign	NEG
Grating Spacing	04.53um
Channel	2
Number Traces	1000
Files in Batch	0
Batch Number	21
dt	50.000001E-12
time stamp (ms)	10:46:46 AM
	
Time	Amplitude
0.000000E+0	-8.086493E-4
5.000000E-11	-8.326346E-4
1.000000E-10	-8.994510E-4
1.500000E-10	-1.058782E-3
2.000000E-10	-1.207834E-3
2.500000E-10	-1.295209E-3
3.000000E-10	-1.360313E-3
3.500000E-10	-1.416849E-3
4.000000E-10	-1.420276E-3
4.500000E-10	-1.389438E-3
5.000000E-10	-1.356886E-3
5.500000E-10	-1.284930E-3
6.000000E-10	-1.139305E-3
6.500000E-10	-9.851130E-4
7.000000E-10	-8.617597E-4
7.500000E-10	-7.521123E-4
8.000000E-10	-6.373253E-4
8.500000E-10	-5.191117E-4
9.000000E-10	-4.745675E-4
9.500000E-10	-5.019793E-4
1.000000E-9	-4.951263E-4
1.050000E-9	-3.700598E-4
1.100000E-9	-1.747505E-4
1.150000E-9	2.227212E-5
1.200000E-9	2.929640E-4
1.250000E-9	7.178475E-4
1.300000E-9	1.192415E-3
1.350000E-9	1.613872E-3
1.400000E-9	1.982219E-3
1.450000E-9	2.299168E-3
1.500000E-9	2.451646E-3
1.550000E-9	2.470492E-3
1.600000E-9	2.451646E-3
1.650000E-9	2.312874E-3
1.700000E-9	1.958233E-3
1.750000E-9	1.533350E-3
1.800000E-9	1.142731E-3
1.850000E-9	6.990019E-4
1.900000E-9	2.227212E-4
1.950000E-9	-1.627578E-4
2.000000E-9	-4.334497E-4
2.050000E-9	-6.681636E-4
2.100000E-9	-8.446273E-4
2.150000E-9	-9.148701E-4
2.200000E-9	-8.737524E-4
2.250000E-9	-6.921489E-4
2.300000E-9	-4.180305E-4
2.350000E-9	-1.216400E-4
2.400000E-9	1.970226E-4
2.450000E-9	5.430971E-4
2.500000E-9	8.377743E-4
2.550000E-9	1.024517E-3
2.600000E-9	1.176996E-3
2.650000E-9	1.233533E-3
2.700000E-9	1.089621E-3
2.750000E-9	7.966566E-4
2.800000E-9	4.214570E-4
2.850000E-9	-7.366932E-5
2.900000E-9	-6.544577E-4
2.950000E-9	-1.202694E-3
3.000000E-9	-1.711527E-3
3.050000E-9	-2.162109E-3
3.100000E-9	-2.477345E-3
3.150000E-9	-2.631537E-3
3.200000E-9	-2.701779E-3
3.250000E-9	-2.684647E-3
3.300000E-9	-2.551014E-3
3.350000E-9	-2.372837E-3
3.400000E-9	-2.203227E-3
3.450000E-9	-2.043895E-3
3.500000E-9	-1.913689E-3
3.550000E-9	-1.783483E-3
3.600000E-9	-1.661843E-3
3.650000E-9	-1.625865E-3
3.700000E-9	-1.641284E-3
3.750000E-9	-1.601879E-3
3.800000E-9	-1.543629E-3
3.850000E-9	-1.523070E-3
3.900000E-9	-1.495658E-3
3.950000E-9	-1.432269E-3
4.000000E-9	-1.408283E-3
4.050000E-9	-1.415136E-3
4.100000E-9	-1.329474E-3
4.150000E-9	-1.247239E-3
4.200000E-9	-1.245525E-3
4.250000E-9	-1.243812E-3
4.300000E-9	-1.175283E-3
4.350000E-9	-1.081054E-3
4.400000E-9	-1.005672E-3
4.450000E-9	-9.217231E-4
4.500000E-9	-7.880904E-4
4.550000E-9	-5.979207E-4
4.600000E-9	-3.717731E-4
4.650000E-9	-1.284930E-4
4.700000E-9	1.302062E-4
4.750000E-9	3.666334E-4
4.800000E-9	4.882734E-4
4.850000E-9	4.968396E-4
4.900000E-9	4.831337E-4
4.950000E-9	4.351629E-4
5.000000E-9	2.758316E-4
5.050000E-9	4.625748E-5
5.100000E-9	-1.816034E-4
5.150000E-9	-3.580672E-4
5.200000E-9	-4.728542E-4
5.250000E-9	-5.430971E-4
5.300000E-9	-5.893545E-4
5.350000E-9	-5.962075E-4
5.400000E-9	-5.413838E-4
5.450000E-9	-4.385894E-4
5.500000E-9	-3.169494E-4
5.550000E-9	-1.644710E-4
5.600000E-9	-6.852960E-6
5.650000E-9	1.884564E-4
5.700000E-9	4.128908E-4
5.750000E-9	5.516633E-4
5.800000E-9	4.882734E-4
5.850000E-9	3.049567E-4
5.900000E-9	1.045076E-4
5.950000E-9	-1.250665E-4
6.000000E-9	-3.974717E-4
6.050000E-9	-6.681636E-4
6.100000E-9	-9.320025E-4
6.150000E-9	-1.166716E-3
6.200000E-9	-1.303776E-3
6.250000E-9	-1.346607E-3
6.300000E-9	-1.362026E-3
6.350000E-9	-1.353460E-3
6.400000E-9	-1.303776E-3
6.450000E-9	-1.250665E-3
6.500000E-9	-1.209547E-3
6.550000E-9	-1.176996E-3
6.600000E-9	-1.153010E-3
6.650000E-9	-1.108466E-3
6.700000E-9	-1.069062E-3
6.750000E-9	-1.053643E-3
6.800000E-9	-9.919659E-4
6.850000E-9	-8.446273E-4
6.900000E-9	-6.904357E-4
6.950000E-9	-5.602295E-4
7.000000E-9	-3.700598E-4
7.050000E-9	-1.027944E-4
7.100000E-9	1.490519E-4
7.150000E-9	4.008981E-4
7.200000E-9	6.767298E-4
7.250000E-9	9.097304E-4
7.300000E-9	1.022804E-3
7.350000E-9	1.033084E-3
7.400000E-9	9.645541E-4
7.450000E-9	8.480538E-4
7.500000E-9	7.161343E-4
7.550000E-9	5.259647E-4
7.600000E-9	1.987358E-4
7.650000E-9	-2.724052E-4
7.700000E-9	-8.463405E-4
7.750000E-9	-1.538489E-3
7.800000E-9	-2.410529E-3
7.850000E-9	-3.467598E-3
7.900000E-9	-4.649733E-3
7.950000E-9	-5.847288E-3
8.000000E-9	-7.041416E-3
8.050000E-9	-8.300648E-3
8.100000E-9	-9.657534E-3
8.150000E-9	-1.101442E-2
8.200000E-9	-1.232162E-2
8.250000E-9	-1.359456E-2
8.300000E-9	-1.478869E-2
8.350000E-9	-1.581834E-2
8.400000E-9	-1.671266E-2
8.450000E-9	-1.754358E-2
8.500000E-9	-1.834023E-2
8.550000E-9	-1.909406E-2
8.600000E-9	-1.977079E-2
8.650000E-9	-2.035329E-2
8.700000E-9	-2.093408E-2
8.750000E-9	-2.153200E-2
8.800000E-9	-2.204597E-2
8.850000E-9	-2.240747E-2
8.900000E-9	-2.260791E-2
8.950000E-9	-2.260791E-2
9.000000E-9	-2.231495E-2
9.050000E-9	-2.179241E-2
9.100000E-9	-2.114652E-2
9.150000E-9	-2.030875E-2
9.200000E-9	-1.920713E-2
9.250000E-9	-1.794448E-2
9.300000E-9	-1.664413E-2
9.350000E-9	-1.534892E-2
9.400000E-9	-1.407598E-2
9.450000E-9	-1.288185E-2
9.500000E-9	-1.184534E-2
9.550000E-9	-1.104012E-2
9.600000E-9	-1.044048E-2
9.650000E-9	-1.006528E-2
9.700000E-9	-9.962490E-3
9.750000E-9	-1.014238E-2
9.800000E-9	-1.046447E-2
9.850000E-9	-1.080026E-2
9.900000E-9	-1.112749E-2
9.950000E-9	-1.152154E-2
1.000000E-8	-1.201667E-2
1.005000E-8	-1.254948E-2
1.010000E-8	-1.304632E-2
1.015000E-8	-1.353631E-2
1.020000E-8	-1.400745E-2
1.025000E-8	-1.436380E-2
1.030000E-8	-1.467904E-2
1.035000E-8	-1.510221E-2
1.040000E-8	-1.560762E-2
1.045000E-8	-1.601879E-2
1.050000E-8	-1.639742E-2
1.055000E-8	-1.680860E-2
1.060000E-8	-1.714097E-2
1.065000E-8	-1.720093E-2
1.070000E-8	-1.703646E-2
1.075000E-8	-1.674692E-2
1.080000E-8	-1.627407E-2
1.085000E-8	-1.563845E-2
1.090000E-8	-1.486750E-2
1.095000E-8	-1.399203E-2
1.100000E-8	-1.303604E-2
1.105000E-8	-1.203894E-2
1.110000E-8	-1.114120E-2
1.115000E-8	-1.039080E-2
1.120000E-8	-9.770607E-3
1.125000E-8	-9.208665E-3
1.130000E-8	-8.687840E-3
1.135000E-8	-8.340052E-3
1.140000E-8	-8.191000E-3
1.145000E-8	-8.105338E-3
1.150000E-8	-8.035095E-3
1.155000E-8	-8.079640E-3
1.160000E-8	-8.285228E-3
1.165000E-8	-8.581619E-3
1.170000E-8	-8.927693E-3
1.175000E-8	-9.333731E-3
1.180000E-8	-9.732916E-3
1.185000E-8	-1.013553E-2
1.190000E-8	-1.063065E-2
1.195000E-8	-1.122857E-2
1.200000E-8	-1.191901E-2
1.205000E-8	-1.273280E-2
1.210000E-8	-1.357743E-2
1.215000E-8	-1.430555E-2
1.220000E-8	-1.490861E-2
1.225000E-8	-1.546542E-2
1.230000E-8	-1.584918E-2
1.235000E-8	-1.591086E-2
1.240000E-8	-1.566073E-2
1.245000E-8	-1.532322E-2
1.250000E-8	-1.491718E-2
1.255000E-8	-1.431926E-2
1.260000E-8	-1.357057E-2
1.265000E-8	-1.274308E-2
1.270000E-8	-1.182821E-2
1.275000E-8	-1.087393E-2
1.280000E-8	-9.957351E-3
1.285000E-8	-9.066466E-3
1.290000E-8	-8.167015E-3
1.295000E-8	-7.305255E-3
1.300000E-8	-6.517165E-3
1.305000E-8	-5.777045E-3
1.310000E-8	-5.096889E-3
1.315000E-8	-4.492115E-3
1.320000E-8	-4.026114E-3
1.325000E-8	-3.787974E-3
1.330000E-8	-3.844510E-3
1.335000E-8	-4.130622E-3
1.340000E-8	-4.642880E-3
1.345000E-8	-5.388140E-3
1.350000E-8	-6.308150E-3
1.355000E-8	-7.325814E-3
1.360000E-8	-8.393163E-3
1.365000E-8	-9.426246E-3
1.370000E-8	-1.033769E-2
1.375000E-8	-1.112235E-2
1.380000E-8	-1.179908E-2
1.385000E-8	-1.231306E-2
1.390000E-8	-1.266427E-2
1.395000E-8	-1.288699E-2
1.400000E-8	-1.303090E-2
1.405000E-8	-1.305489E-2
1.410000E-8	-1.287671E-2
1.415000E-8	-1.245697E-2
1.420000E-8	-1.189331E-2
1.425000E-8	-1.128511E-2
1.430000E-8	-1.061181E-2
1.435000E-8	-9.830571E-3
1.440000E-8	-8.972238E-3
1.445000E-8	-8.091632E-3
1.450000E-8	-7.236726E-3
1.455000E-8	-6.446922E-3
1.460000E-8	-5.725648E-3
1.465000E-8	-5.103742E-3
1.470000E-8	-4.582917E-3
1.475000E-8	-4.120342E-3
1.480000E-8	-3.710878E-3
1.485000E-8	-3.402495E-3
1.490000E-8	-3.279141E-3
1.495000E-8	-3.306553E-3
1.500000E-8	-3.471024E-3
1.505000E-8	-3.769128E-3
1.510000E-8	-4.219710E-3
1.515000E-8	-4.791932E-3
1.520000E-8	-5.490934E-3
1.525000E-8	-6.294444E-3
1.530000E-8	-7.130505E-3
1.535000E-8	-7.980272E-3
1.540000E-8	-8.831752E-3
1.545000E-8	-9.599283E-3
1.550000E-8	-1.013895E-2
1.555000E-8	-1.053300E-2
1.560000E-8	-1.093732E-2
1.565000E-8	-1.126798E-2
1.570000E-8	-1.134507E-2
1.575000E-8	-1.122343E-2
1.580000E-8	-1.101271E-2
1.585000E-8	-1.066663E-2
1.590000E-8	-1.009784E-2
1.595000E-8	-9.385128E-3
1.600000E-8	-8.619310E-3
1.605000E-8	-7.784962E-3
1.610000E-8	-6.837541E-3
1.615000E-8	-5.785611E-3
1.620000E-8	-4.689138E-3
1.625000E-8	-3.649201E-3
1.630000E-8	-2.713772E-3
1.635000E-8	-1.901696E-3
1.640000E-8	-1.197555E-3
1.645000E-8	-6.595974E-4
1.650000E-8	-3.512142E-4
1.655000E-8	-3.015302E-4
1.660000E-8	-4.985528E-4
1.665000E-8	-9.148701E-4
1.670000E-8	-1.536776E-3
1.675000E-8	-2.258050E-3
1.680000E-8	-3.010163E-3
1.685000E-8	-3.810246E-3
1.690000E-8	-4.723403E-3
1.695000E-8	-5.641699E-3
1.700000E-8	-6.460628E-3
1.705000E-8	-7.133931E-3
1.710000E-8	-7.653043E-3
1.715000E-8	-8.065934E-3
1.720000E-8	-8.406868E-3
1.725000E-8	-8.646722E-3
1.730000E-8	-8.771789E-3
1.735000E-8	-8.878009E-3
1.740000E-8	-8.973951E-3
1.745000E-8	-8.996223E-3
1.750000E-8	-8.920840E-3
1.755000E-8	-8.800914E-3
1.760000E-8	-8.597038E-3
1.765000E-8	-8.307501E-3
1.770000E-8	-7.940867E-3
1.775000E-8	-7.485145E-3
1.780000E-8	-6.942048E-3
1.785000E-8	-6.342414E-3
1.790000E-8	-5.622854E-3
1.795000E-8	-4.800498E-3
1.800000E-8	-3.993562E-3
1.805000E-8	-3.136942E-3
1.810000E-8	-2.187807E-3
1.815000E-8	-1.291783E-3
1.820000E-8	-6.064869E-4
1.825000E-8	-5.996340E-5
1.830000E-8	3.751995E-4
1.835000E-8	5.482368E-4
1.840000E-8	4.454424E-4
1.845000E-8	1.764637E-4
1.850000E-8	-1.764637E-4
1.855000E-8	-6.698768E-4
1.860000E-8	-1.351746E-3
1.865000E-8	-2.174102E-3
1.870000E-8	-3.010163E-3
1.875000E-8	-3.805106E-3
1.880000E-8	-4.622321E-3
1.885000E-8	-5.446390E-3
1.890000E-8	-6.159098E-3
1.895000E-8	-6.746739E-3
1.900000E-8	-7.272704E-3
1.905000E-8	-7.673602E-3
1.910000E-8	-7.858632E-3
1.915000E-8	-7.839786E-3
1.920000E-8	-7.656469E-3
1.925000E-8	-7.336093E-3
1.930000E-8	-6.933482E-3
1.935000E-8	-6.448635E-3
1.940000E-8	-5.806170E-3
1.945000E-8	-5.042065E-3
1.950000E-8	-4.243695E-3
1.955000E-8	-3.373369E-3
1.960000E-8	-2.408815E-3
1.965000E-8	-1.528210E-3
1.970000E-8	-8.274949E-4
1.975000E-8	-2.415668E-4
1.980000E-8	2.330006E-4
1.985000E-8	5.465235E-4
