Study Name	W_beamline_2018_02_01
Sample Name	3.7MeV_He_in_W
Run Name	run02
Operator	Cody
Date	2/1/2018
Time	10:34 AM
Sign	POS
Grating Spacing	04.53um
Channel	2
Number Traces	1000
Files in Batch	0
Batch Number	375
dt	50.000001E-12
time stamp (ms)	2:15:44 PM
	
Time	Amplitude
0.000000E+0	1.146158E-3
5.000000E-11	9.457085E-4
1.000000E-10	6.287591E-4
1.500000E-10	2.381404E-4
2.000000E-10	-7.366932E-5
2.500000E-10	-3.649201E-4
3.000000E-10	-7.247005E-4
3.500000E-10	-9.919659E-4
4.000000E-10	-1.045076E-3
4.500000E-10	-9.765468E-4
5.000000E-10	-8.686127E-4
5.500000E-10	-6.818695E-4
6.000000E-10	-4.420159E-4
6.500000E-10	-1.935961E-4
7.000000E-10	3.597804E-5
7.500000E-10	1.764637E-4
8.000000E-10	2.449933E-4
8.500000E-10	3.306553E-4
9.000000E-10	3.409348E-4
9.500000E-10	1.798902E-4
1.000000E-9	0.000000E+0
1.050000E-9	-9.594144E-5
1.100000E-9	-2.415668E-4
1.150000E-9	-4.522953E-4
1.200000E-9	-5.979207E-4
1.250000E-9	-6.887225E-4
1.300000E-9	-7.863771E-4
1.350000E-9	-7.829507E-4
1.400000E-9	-6.544577E-4
1.450000E-9	-5.448103E-4
1.500000E-9	-5.002661E-4
1.550000E-9	-4.334497E-4
1.600000E-9	-3.495010E-4
1.650000E-9	-3.049567E-4
1.700000E-9	-3.152362E-4
1.750000E-9	-3.443612E-4
1.800000E-9	-3.957584E-4
1.850000E-9	-4.951263E-4
1.900000E-9	-6.424650E-4
1.950000E-9	-8.035095E-4
2.000000E-9	-9.525614E-4
2.050000E-9	-1.099900E-3
2.100000E-9	-1.195841E-3
2.150000E-9	-1.240386E-3
2.200000E-9	-1.260945E-3
2.250000E-9	-1.260945E-3
2.300000E-9	-1.197555E-3
2.350000E-9	-1.072488E-3
2.400000E-9	-9.268628E-4
2.450000E-9	-7.555388E-4
2.500000E-9	-5.448103E-4
2.550000E-9	-3.255156E-4
2.600000E-9	-8.052228E-5
2.650000E-9	1.421989E-4
2.700000E-9	2.758316E-4
2.750000E-9	3.409348E-4
2.800000E-9	3.940452E-4
2.850000E-9	4.248835E-4
2.900000E-9	4.111776E-4
2.950000E-9	4.043246E-4
3.000000E-9	4.163173E-4
3.050000E-9	4.008981E-4
3.100000E-9	3.649201E-4
3.150000E-9	3.683466E-4
3.200000E-9	4.197438E-4
3.250000E-9	4.522953E-4
3.300000E-9	4.146041E-4
3.350000E-9	3.118097E-4
3.400000E-9	1.713240E-4
3.450000E-9	3.255156E-5
3.500000E-9	-1.439122E-4
3.550000E-9	-3.683466E-4
3.600000E-9	-6.013472E-4
3.650000E-9	-8.514803E-4
3.700000E-9	-1.165003E-3
3.750000E-9	-1.488806E-3
3.800000E-9	-1.759497E-3
3.850000E-9	-2.007917E-3
3.900000E-9	-2.230638E-3
3.950000E-9	-2.306021E-3
4.000000E-9	-2.211793E-3
4.050000E-9	-2.045609E-3
4.100000E-9	-1.857152E-3
4.150000E-9	-1.598453E-3
4.200000E-9	-1.279790E-3
4.250000E-9	-9.902527E-4
4.300000E-9	-7.606785E-4
4.350000E-9	-5.139720E-4
4.400000E-9	-2.090153E-4
4.450000E-9	3.769128E-5
4.500000E-9	1.284930E-4
4.550000E-9	1.747505E-4
4.600000E-9	2.929640E-4
4.650000E-9	3.889055E-4
4.700000E-9	3.666334E-4
4.750000E-9	3.289421E-4
4.800000E-9	3.512142E-4
4.850000E-9	3.375083E-4
4.900000E-9	2.415668E-4
4.950000E-9	1.764637E-4
5.000000E-9	1.884564E-4
5.050000E-9	1.884564E-4
5.100000E-9	1.113606E-4
5.150000E-9	2.227212E-5
5.200000E-9	-6.852960E-6
5.250000E-9	1.370592E-5
5.300000E-9	3.769128E-5
5.350000E-9	7.538256E-5
5.400000E-9	8.394876E-5
5.450000E-9	-2.912508E-5
5.500000E-9	-2.792581E-4
5.550000E-9	-5.499500E-4
5.600000E-9	-7.418329E-4
5.650000E-9	-8.788921E-4
5.700000E-9	-1.009098E-3
5.750000E-9	-1.077628E-3
5.800000E-9	-1.039937E-3
5.850000E-9	-9.251496E-4
5.900000E-9	-7.315535E-4
5.950000E-9	-4.248835E-4
6.000000E-9	-3.940452E-5
6.050000E-9	3.854790E-4
6.100000E-9	8.309214E-4
6.150000E-9	1.260945E-3
6.200000E-9	1.595026E-3
6.250000E-9	1.780056E-3
6.300000E-9	1.797189E-3
6.350000E-9	1.677262E-3
6.400000E-9	1.509364E-3
6.450000E-9	1.331187E-3
6.500000E-9	1.096474E-3
6.550000E-9	8.326346E-4
6.600000E-9	6.476047E-4
6.650000E-9	4.951263E-4
6.700000E-9	2.518463E-4
6.750000E-9	-2.569860E-5
6.800000E-9	-1.816034E-4
6.850000E-9	-2.158682E-4
6.900000E-9	-2.432801E-4
6.950000E-9	-2.689787E-4
7.000000E-9	-2.518463E-4
7.050000E-9	-2.278609E-4
7.100000E-9	-2.552728E-4
7.150000E-9	-3.135229E-4
7.200000E-9	-3.529274E-4
7.250000E-9	-3.443612E-4
7.300000E-9	-3.100964E-4
7.350000E-9	-2.278609E-4
7.400000E-9	-3.083832E-5
7.450000E-9	3.477877E-4
7.500000E-9	8.686127E-4
7.550000E-9	1.495658E-3
7.600000E-9	2.261477E-3
7.650000E-9	3.167781E-3
7.700000E-9	4.139188E-3
7.750000E-9	5.179124E-3
7.800000E-9	6.392098E-3
7.850000E-9	7.798668E-3
7.900000E-9	9.318312E-3
7.950000E-9	1.095617E-2
8.000000E-9	1.276192E-2
8.050000E-9	1.469446E-2
8.100000E-9	1.664927E-2
8.150000E-9	1.858523E-2
8.200000E-9	2.050577E-2
8.250000E-9	2.235435E-2
8.300000E-9	2.402134E-2
8.350000E-9	2.543647E-2
8.400000E-9	2.664259E-2
8.450000E-9	2.756774E-2
8.500000E-9	2.806801E-2
8.550000E-9	2.826161E-2
8.600000E-9	2.839695E-2
8.650000E-9	2.844492E-2
8.700000E-9	2.826503E-2
8.750000E-9	2.796350E-2
8.800000E-9	2.772022E-2
8.850000E-9	2.749921E-2
8.900000E-9	2.717541E-2
8.950000E-9	2.679336E-2
9.000000E-9	2.640103E-2
9.050000E-9	2.597272E-2
9.100000E-9	2.537137E-2
9.150000E-9	2.446678E-2
9.200000E-9	2.333261E-2
9.250000E-9	2.211450E-2
9.300000E-9	2.076447E-2
9.350000E-9	1.919343E-2
9.400000E-9	1.762410E-2
9.450000E-9	1.631861E-2
9.500000E-9	1.526154E-2
9.550000E-9	1.442205E-2
9.600000E-9	1.388581E-2
9.650000E-9	1.362540E-2
9.700000E-9	1.355515E-2
9.750000E-9	1.367165E-2
9.800000E-9	1.399374E-2
9.850000E-9	1.443747E-2
9.900000E-9	1.497372E-2
9.950000E-9	1.561104E-2
1.000000E-8	1.626721E-2
1.005000E-8	1.688569E-2
1.010000E-8	1.745963E-2
1.015000E-8	1.796503E-2
1.020000E-8	1.842932E-2
1.025000E-8	1.889704E-2
1.030000E-8	1.931678E-2
1.035000E-8	1.959947E-2
1.040000E-8	1.983247E-2
1.045000E-8	2.007403E-2
1.050000E-8	2.020424E-2
1.055000E-8	2.019396E-2
1.060000E-8	2.014942E-2
1.065000E-8	1.998666E-2
1.070000E-8	1.960460E-2
1.075000E-8	1.916773E-2
1.080000E-8	1.877197E-2
1.085000E-8	1.825115E-2
1.090000E-8	1.756585E-2
1.095000E-8	1.676577E-2
1.100000E-8	1.582691E-2
1.105000E-8	1.471673E-2
1.110000E-8	1.355001E-2
1.115000E-8	1.244840E-2
1.120000E-8	1.143416E-2
1.125000E-8	1.057412E-2
1.130000E-8	9.893961E-3
1.135000E-8	9.364570E-3
1.140000E-8	9.028775E-3
1.145000E-8	8.963671E-3
1.150000E-8	9.093878E-3
1.155000E-8	9.362856E-3
1.160000E-8	9.847703E-3
1.165000E-8	1.054499E-2
1.170000E-8	1.131766E-2
1.175000E-8	1.209890E-2
1.180000E-8	1.294524E-2
1.185000E-8	1.385668E-2
1.190000E-8	1.469960E-2
1.195000E-8	1.544486E-2
1.200000E-8	1.616442E-2
1.205000E-8	1.681374E-2
1.210000E-8	1.725747E-2
1.215000E-8	1.750760E-2
1.220000E-8	1.767207E-2
1.225000E-8	1.773546E-2
1.230000E-8	1.759497E-2
1.235000E-8	1.730372E-2
1.240000E-8	1.697992E-2
1.245000E-8	1.657046E-2
1.250000E-8	1.602051E-2
1.255000E-8	1.535577E-2
1.260000E-8	1.459166E-2
1.265000E-8	1.373333E-2
1.270000E-8	1.284073E-2
1.275000E-8	1.192415E-2
1.280000E-8	1.100585E-2
1.285000E-8	1.008584E-2
1.290000E-8	9.153841E-3
1.295000E-8	8.235544E-3
1.300000E-8	7.433748E-3
1.305000E-8	6.840967E-3
1.310000E-8	6.443495E-3
1.315000E-8	6.267032E-3
1.320000E-8	6.323569E-3
1.325000E-8	6.583981E-3
1.330000E-8	6.955754E-3
1.335000E-8	7.430322E-3
1.340000E-8	8.014537E-3
1.345000E-8	8.650149E-3
1.350000E-8	9.311459E-3
1.355000E-8	9.976196E-3
1.360000E-8	1.063579E-2
1.365000E-8	1.132623E-2
1.370000E-8	1.203551E-2
1.375000E-8	1.266770E-2
1.380000E-8	1.321765E-2
1.385000E-8	1.371791E-2
1.390000E-8	1.410339E-2
1.395000E-8	1.432269E-2
1.400000E-8	1.445632E-2
1.405000E-8	1.450258E-2
1.410000E-8	1.435010E-2
1.415000E-8	1.405371E-2
1.420000E-8	1.367679E-2
1.425000E-8	1.312170E-2
1.430000E-8	1.232162E-2
1.435000E-8	1.135364E-2
1.440000E-8	1.026402E-2
1.445000E-8	9.066466E-3
1.450000E-8	7.846639E-3
1.455000E-8	6.712474E-3
1.460000E-8	5.718795E-3
1.465000E-8	4.867315E-3
1.470000E-8	4.113489E-3
1.475000E-8	3.488157E-3
1.480000E-8	3.118097E-3
1.485000E-8	3.025582E-3
1.490000E-8	3.073552E-3
1.495000E-8	3.246590E-3
1.500000E-8	3.645775E-3
1.505000E-8	4.286526E-3
1.510000E-8	5.021506E-3
1.515000E-8	5.785611E-3
1.520000E-8	6.642231E-3
1.525000E-8	7.575947E-3
1.530000E-8	8.459979E-3
1.535000E-8	9.265202E-3
1.540000E-8	1.003445E-2
1.545000E-8	1.070261E-2
1.550000E-8	1.116005E-2
1.555000E-8	1.147699E-2
1.560000E-8	1.177167E-2
1.565000E-8	1.198411E-2
1.570000E-8	1.201667E-2
1.575000E-8	1.188646E-2
1.580000E-8	1.160377E-2
1.585000E-8	1.112407E-2
1.590000E-8	1.044048E-2
1.595000E-8	9.614703E-3
1.600000E-8	8.696406E-3
1.605000E-8	7.716433E-3
1.610000E-8	6.715901E-3
1.615000E-8	5.720508E-3
1.620000E-8	4.752528E-3
1.625000E-8	3.805106E-3
1.630000E-8	2.912508E-3
1.635000E-8	2.196374E-3
1.640000E-8	1.713240E-3
1.645000E-8	1.406570E-3
1.650000E-8	1.209547E-3
1.655000E-8	1.170143E-3
1.660000E-8	1.360313E-3
1.665000E-8	1.778343E-3
1.670000E-8	2.345425E-3
1.675000E-8	3.047854E-3
1.680000E-8	3.904474E-3
1.685000E-8	4.833050E-3
1.690000E-8	5.735927E-3
1.695000E-8	6.628525E-3
1.700000E-8	7.548535E-3
1.705000E-8	8.405155E-3
1.710000E-8	9.105870E-3
1.715000E-8	9.717497E-3
1.720000E-8	1.031370E-2
1.725000E-8	1.083796E-2
1.730000E-8	1.118232E-2
1.735000E-8	1.138277E-2
1.740000E-8	1.152497E-2
1.745000E-8	1.153010E-2
1.750000E-8	1.127997E-2
1.755000E-8	1.081911E-2
1.760000E-8	1.028801E-2
1.765000E-8	9.657534E-3
1.770000E-8	8.804340E-3
1.775000E-8	7.800382E-3
1.780000E-8	6.852960E-3
1.785000E-8	5.953509E-3
1.790000E-8	4.985528E-3
1.795000E-8	4.020974E-3
1.800000E-8	3.215751E-3
1.805000E-8	2.554441E-3
1.810000E-8	1.903410E-3
1.815000E-8	1.295209E-3
1.820000E-8	8.720391E-4
1.825000E-8	6.681636E-4
1.830000E-8	6.441782E-4
1.835000E-8	8.189287E-4
1.840000E-8	1.223253E-3
1.845000E-8	1.792049E-3
1.850000E-8	2.449933E-3
1.855000E-8	3.220891E-3
1.860000E-8	4.111776E-3
1.865000E-8	5.033499E-3
1.870000E-8	5.895259E-3
1.875000E-8	6.691915E-3
1.880000E-8	7.414903E-3
1.885000E-8	8.033382E-3
1.890000E-8	8.478825E-3
1.895000E-8	8.794061E-3
1.900000E-8	9.020208E-3
1.905000E-8	9.119576E-3
1.910000E-8	9.054473E-3
1.915000E-8	8.922554E-3
1.920000E-8	8.783781E-3
1.925000E-8	8.521656E-3
1.930000E-8	8.072787E-3
1.935000E-8	7.491998E-3
1.940000E-8	6.839254E-3
1.945000E-8	6.100847E-3
1.950000E-8	5.336742E-3
1.955000E-8	4.594910E-3
1.960000E-8	3.866783E-3
1.965000E-8	3.159214E-3
1.970000E-8	2.444793E-3
1.975000E-8	1.709813E-3
1.980000E-8	1.086194E-3
1.985000E-8	6.681636E-4
1.990000E-8	3.340818E-4
1.995000E-8	6.167664E-5
2.000000E-8	-6.852960E-6
2.005000E-8	1.096474E-4
2.010000E-8	2.535595E-4
2.015000E-8	4.540086E-4
2.020000E-8	8.257817E-4
2.025000E-8	1.327761E-3
2.030000E-8	1.887990E-3
2.035000E-8	2.537308E-3
2.040000E-8	3.260296E-3
2.045000E-8	4.024401E-3
2.050000E-8	4.824484E-3
2.055000E-8	5.662258E-3
2.060000E-8	6.500032E-3
