Study Name	Ni_beamline_2018_02_02
Sample Name	31MeV_Ni_in_Ni
Run Name	run02
Operator	Cody
Date	2/2/2018
Time	2:41 PM
Sign	FIX
Grating Spacing	04.53um
Channel	2
Number Traces	1000
Files in Batch	0
Batch Number	254
dt	50.000001E-12
time stamp (ms)	6:56:19 PM
	
Time	Amplitude
0.000000E+0	-1.096474E-4
5.000000E-11	-1.165003E-4
1.000000E-10	3.426480E-6
1.500000E-10	2.021623E-4
2.000000E-10	4.146041E-4
2.500000E-10	6.613106E-4
3.000000E-10	9.114437E-4
3.500000E-10	1.075915E-3
4.000000E-10	1.165003E-3
4.500000E-10	1.206121E-3
5.000000E-10	1.168430E-3
5.500000E-10	1.010812E-3
6.000000E-10	7.949433E-4
6.500000E-10	5.516633E-4
7.000000E-10	3.289421E-4
7.500000E-10	1.953094E-4
8.000000E-10	1.302062E-4
8.500000E-10	8.223552E-5
9.000000E-10	1.336327E-4
9.500000E-10	3.220891E-4
1.000000E-9	5.208249E-4
1.050000E-9	6.441782E-4
1.100000E-9	7.778109E-4
1.150000E-9	9.011642E-4
1.200000E-9	8.977377E-4
1.250000E-9	8.086493E-4
1.300000E-9	7.264137E-4
1.350000E-9	6.064869E-4
1.400000E-9	4.488689E-4
1.450000E-9	3.460745E-4
1.500000E-9	3.289421E-4
1.550000E-9	3.871922E-4
1.600000E-9	5.448103E-4
1.650000E-9	7.949433E-4
1.700000E-9	1.127312E-3
1.750000E-9	1.589887E-3
1.800000E-9	2.148403E-3
1.850000E-9	2.617831E-3
1.900000E-9	2.912508E-3
1.950000E-9	3.124950E-3
2.000000E-9	3.217465E-3
2.050000E-9	3.015302E-3
2.100000E-9	2.559580E-3
2.150000E-9	2.045609E-3
2.200000E-9	1.459680E-3
2.250000E-9	7.401197E-4
2.300000E-9	5.825016E-5
2.350000E-9	-4.351629E-4
2.400000E-9	-8.360611E-4
2.450000E-9	-1.195841E-3
2.500000E-9	-1.391151E-3
2.550000E-9	-1.425416E-3
2.600000E-9	-1.353460E-3
2.650000E-9	-1.195841E-3
2.700000E-9	-1.014238E-3
2.750000E-9	-8.429141E-4
2.800000E-9	-5.893545E-4
2.850000E-9	-3.186626E-4
2.900000E-9	-2.055888E-4
2.950000E-9	-1.473386E-4
3.000000E-9	6.167664E-5
3.050000E-9	3.529274E-4
3.100000E-9	6.167664E-4
3.150000E-9	9.045907E-4
3.200000E-9	1.236959E-3
3.250000E-9	1.473386E-3
3.300000E-9	1.603593E-3
3.350000E-9	1.692681E-3
3.400000E-9	1.706387E-3
3.450000E-9	1.559048E-3
3.500000E-9	1.295209E-3
3.550000E-9	9.902527E-4
3.600000E-9	6.099134E-4
3.650000E-9	1.781770E-4
3.700000E-9	-1.781770E-4
3.750000E-9	-4.317365E-4
3.800000E-9	-6.647371E-4
3.850000E-9	-8.394876E-4
3.900000E-9	-9.045907E-4
3.950000E-9	-9.354290E-4
4.000000E-9	-9.628409E-4
4.050000E-9	-9.868262E-4
4.100000E-9	-1.103327E-3
4.150000E-9	-1.322621E-3
4.200000E-9	-1.511078E-3
4.250000E-9	-1.658416E-3
4.300000E-9	-1.836593E-3
4.350000E-9	-1.942814E-3
4.400000E-9	-1.891417E-3
4.450000E-9	-1.768064E-3
4.500000E-9	-1.569328E-3
4.550000E-9	-1.219827E-3
4.600000E-9	-7.949433E-4
4.650000E-9	-3.871922E-4
4.700000E-9	2.741184E-5
4.750000E-9	4.797072E-4
4.800000E-9	8.806053E-4
4.850000E-9	1.151297E-3
4.900000E-9	1.278077E-3
4.950000E-9	1.326048E-3
5.000000E-9	1.353460E-3
5.050000E-9	1.322621E-3
5.100000E-9	1.230106E-3
5.150000E-9	1.151297E-3
5.200000E-9	1.110179E-3
5.250000E-9	1.075915E-3
5.300000E-9	1.069062E-3
5.350000E-9	1.051929E-3
5.400000E-9	9.868262E-4
5.450000E-9	9.388555E-4
5.500000E-9	9.114437E-4
5.550000E-9	8.052228E-4
5.600000E-9	6.613106E-4
5.650000E-9	5.687957E-4
5.700000E-9	4.797072E-4
5.750000E-9	3.734863E-4
5.800000E-9	3.049567E-4
5.850000E-9	2.021623E-4
5.900000E-9	3.426480E-6
5.950000E-9	-1.850299E-4
6.000000E-9	-3.871922E-4
6.050000E-9	-7.641050E-4
6.100000E-9	-1.216400E-3
6.150000E-9	-1.600166E-3
6.200000E-9	-2.028476E-3
6.250000E-9	-2.511610E-3
6.300000E-9	-2.871390E-3
6.350000E-9	-3.118097E-3
6.400000E-9	-3.364803E-3
6.450000E-9	-3.495010E-3
6.500000E-9	-3.409348E-3
6.550000E-9	-3.217465E-3
6.600000E-9	-3.005023E-3
6.650000E-9	-2.717199E-3
6.700000E-9	-2.336859E-3
6.750000E-9	-1.857152E-3
6.800000E-9	-1.353460E-3
6.850000E-9	-9.114437E-4
6.900000E-9	-4.797072E-4
6.950000E-9	2.055888E-5
7.000000E-9	4.694277E-4
7.050000E-9	7.641050E-4
7.100000E-9	1.072488E-3
7.150000E-9	1.387724E-3
7.200000E-9	1.473386E-3
7.250000E-9	1.387724E-3
7.300000E-9	1.377445E-3
7.350000E-9	1.377445E-3
7.400000E-9	1.209547E-3
7.450000E-9	1.075915E-3
7.500000E-9	1.168430E-3
7.550000E-9	1.380871E-3
7.600000E-9	1.692681E-3
7.650000E-9	2.401962E-3
7.700000E-9	3.676613E-3
7.750000E-9	5.441250E-3
7.800000E-9	7.675315E-3
7.850000E-9	1.050559E-2
7.900000E-9	1.397319E-2
7.950000E-9	1.799245E-2
8.000000E-9	2.246058E-2
8.050000E-9	2.729191E-2
8.100000E-9	3.238366E-2
8.150000E-9	3.764673E-2
8.200000E-9	4.295778E-2
8.250000E-9	4.817288E-2
8.300000E-9	5.318582E-2
8.350000E-9	5.791094E-2
8.400000E-9	6.231396E-2
8.450000E-9	6.635036E-2
8.500000E-9	6.996529E-2
8.550000E-9	7.316220E-2
8.600000E-9	7.606443E-2
8.650000E-9	7.874393E-2
8.700000E-9	8.116988E-2
8.750000E-9	8.329087E-2
8.800000E-9	8.503495E-2
8.850000E-9	8.636785E-2
8.900000E-9	8.727930E-2
8.950000E-9	8.773159E-2
9.000000E-9	8.761852E-2
9.050000E-9	8.688182E-2
9.100000E-9	8.556263E-2
9.150000E-9	8.359926E-2
9.200000E-9	8.099856E-2
9.250000E-9	7.795242E-2
9.300000E-9	7.465272E-2
9.350000E-9	7.119197E-2
9.400000E-9	6.771067E-2
9.450000E-9	6.440069E-2
9.500000E-9	6.139567E-2
9.550000E-9	5.881553E-2
9.600000E-9	5.671167E-2
9.650000E-9	5.509437E-2
9.700000E-9	5.400132E-2
9.750000E-9	5.341197E-2
9.800000E-9	5.316526E-2
9.850000E-9	5.323722E-2
9.900000E-9	5.373406E-2
9.950000E-9	5.456669E-2
1.000000E-8	5.554667E-2
1.005000E-8	5.669111E-2
1.010000E-8	5.798632E-2
1.015000E-8	5.933293E-2
1.020000E-8	6.079261E-2
1.025000E-8	6.248871E-2
1.030000E-8	6.437670E-2
1.035000E-8	6.636064E-2
1.040000E-8	6.841310E-2
1.045000E-8	7.050668E-2
1.050000E-8	7.260026E-2
1.055000E-8	7.462873E-2
1.060000E-8	7.645847E-2
1.065000E-8	7.801409E-2
1.070000E-8	7.929217E-2
1.075000E-8	8.012481E-2
1.080000E-8	8.039550E-2
1.085000E-8	8.020704E-2
1.090000E-8	7.962454E-2
1.095000E-8	7.855205E-2
1.100000E-8	7.699643E-2
1.105000E-8	7.513928E-2
1.110000E-8	7.306283E-2
1.115000E-8	7.077394E-2
1.120000E-8	6.832058E-2
1.125000E-8	6.572331E-2
1.130000E-8	6.300269E-2
1.135000E-8	6.027863E-2
1.140000E-8	5.764367E-2
1.145000E-8	5.508752E-2
1.150000E-8	5.264786E-2
1.155000E-8	5.046177E-2
1.160000E-8	4.858406E-2
1.165000E-8	4.701816E-2
1.170000E-8	4.584973E-2
1.175000E-8	4.520212E-2
1.180000E-8	4.515758E-2
1.185000E-8	4.568526E-2
1.190000E-8	4.673376E-2
1.195000E-8	4.826540E-2
1.200000E-8	5.026303E-2
1.205000E-8	5.262730E-2
1.210000E-8	5.516633E-2
1.215000E-8	5.775675E-2
1.220000E-8	6.035059E-2
1.225000E-8	6.286220E-2
1.230000E-8	6.514766E-2
1.235000E-8	6.717957E-2
1.240000E-8	6.899560E-2
1.245000E-8	7.047241E-2
1.250000E-8	7.149008E-2
1.255000E-8	7.215481E-2
1.260000E-8	7.251802E-2
1.265000E-8	7.252487E-2
1.270000E-8	7.222334E-2
1.275000E-8	7.169567E-2
1.280000E-8	7.083219E-2
1.285000E-8	6.959181E-2
1.290000E-8	6.811157E-2
1.295000E-8	6.638805E-2
1.300000E-8	6.434587E-2
1.305000E-8	6.205355E-2
1.310000E-8	5.960362E-2
1.315000E-8	5.697208E-2
1.320000E-8	5.421377E-2
1.325000E-8	5.147601E-2
1.330000E-8	4.877251E-2
1.335000E-8	4.613755E-2
1.340000E-8	4.375957E-2
1.345000E-8	4.187501E-2
1.350000E-8	4.049071E-2
1.355000E-8	3.947305E-2
1.360000E-8	3.888027E-2
1.365000E-8	3.889397E-2
1.370000E-8	3.951417E-2
1.375000E-8	4.059351E-2
1.380000E-8	4.211486E-2
1.385000E-8	4.407138E-2
1.390000E-8	4.628832E-2
1.395000E-8	4.863203E-2
1.400000E-8	5.113336E-2
1.405000E-8	5.367238E-2
1.410000E-8	5.608462E-2
1.415000E-8	5.838379E-2
1.420000E-8	6.058359E-2
1.425000E-8	6.252298E-2
1.430000E-8	6.414028E-2
1.435000E-8	6.550744E-2
1.440000E-8	6.662448E-2
1.445000E-8	6.738173E-2
1.450000E-8	6.769696E-2
1.455000E-8	6.755648E-2
1.460000E-8	6.701167E-2
1.465000E-8	6.607281E-2
1.470000E-8	6.463712E-2
1.475000E-8	6.271829E-2
1.480000E-8	6.051164E-2
1.485000E-8	5.809254E-2
1.490000E-8	5.541646E-2
1.495000E-8	5.256905E-2
1.500000E-8	4.971137E-2
1.505000E-8	4.688795E-2
1.510000E-8	4.422215E-2
1.515000E-8	4.182704E-2
1.520000E-8	3.971976E-2
1.525000E-8	3.795169E-2
1.530000E-8	3.662564E-2
1.535000E-8	3.572448E-2
1.540000E-8	3.522079E-2
1.545000E-8	3.524477E-2
1.550000E-8	3.581699E-2
1.555000E-8	3.671131E-2
1.560000E-8	3.787974E-2
1.565000E-8	3.942508E-2
1.570000E-8	4.123426E-2
1.575000E-8	4.307771E-2
1.580000E-8	4.495884E-2
1.585000E-8	4.693935E-2
1.590000E-8	4.889587E-2
1.595000E-8	5.071533E-2
1.600000E-8	5.248339E-2
1.605000E-8	5.420006E-2
1.610000E-8	5.573855E-2
1.615000E-8	5.717082E-2
1.620000E-8	5.856197E-2
1.625000E-8	5.973040E-2
1.630000E-8	6.051164E-2
1.635000E-8	6.102903E-2
1.640000E-8	6.129973E-2
1.645000E-8	6.110784E-2
1.650000E-8	6.039513E-2
1.655000E-8	5.927468E-2
1.660000E-8	5.772933E-2
1.665000E-8	5.572484E-2
1.670000E-8	5.337428E-2
1.675000E-8	5.079071E-2
1.680000E-8	4.802212E-2
1.685000E-8	4.523296E-2
1.690000E-8	4.257401E-2
1.695000E-8	4.003499E-2
1.700000E-8	3.772212E-2
1.705000E-8	3.581014E-2
1.710000E-8	3.428878E-2
1.715000E-8	3.311350E-2
1.720000E-8	3.237681E-2
1.725000E-8	3.204787E-2
1.730000E-8	3.195535E-2
1.735000E-8	3.216779E-2
1.740000E-8	3.282910E-2
1.745000E-8	3.379194E-2
1.750000E-8	3.491240E-2
1.755000E-8	3.627272E-2
1.760000E-8	3.786603E-2
1.765000E-8	3.959298E-2
1.770000E-8	4.152551E-2
1.775000E-8	4.369105E-2
1.780000E-8	4.585658E-2
1.785000E-8	4.796387E-2
1.790000E-8	5.016367E-2
1.795000E-8	5.232235E-2
1.800000E-8	5.414524E-2
1.805000E-8	5.566317E-2
1.810000E-8	5.702348E-2
1.815000E-8	5.809254E-2
1.820000E-8	5.870245E-2
1.825000E-8	5.891490E-2
1.830000E-8	5.876070E-2
1.835000E-8	5.822617E-2
1.840000E-8	5.738326E-2
1.845000E-8	5.623881E-2
1.850000E-8	5.474487E-2
1.855000E-8	5.295967E-2
1.860000E-8	5.097917E-2
1.865000E-8	4.869028E-2
1.870000E-8	4.608958E-2
1.875000E-8	4.337238E-2
1.880000E-8	4.061749E-2
1.885000E-8	3.777694E-2
1.890000E-8	3.499807E-2
1.895000E-8	3.247275E-2
1.900000E-8	3.022498E-2
1.905000E-8	2.827531E-2
1.910000E-8	2.678137E-2
1.915000E-8	2.586307E-2
1.920000E-8	2.548616E-2
1.925000E-8	2.560951E-2
1.930000E-8	2.626054E-2
1.935000E-8	2.745638E-2
1.940000E-8	2.906340E-2
1.945000E-8	3.095825E-2
1.950000E-8	3.315462E-2
1.955000E-8	3.563882E-2
1.960000E-8	3.820525E-2
1.965000E-8	4.069630E-2
1.970000E-8	4.313253E-2
1.975000E-8	4.549680E-2
1.980000E-8	4.764520E-2
1.985000E-8	4.950236E-2
1.990000E-8	5.108539E-2
1.995000E-8	5.235319E-2
2.000000E-8	5.329547E-2
2.005000E-8	5.388482E-2
2.010000E-8	5.402531E-2
2.015000E-8	5.371350E-2
2.020000E-8	5.302820E-2
2.025000E-8	5.196942E-2
2.030000E-8	5.052002E-2
2.035000E-8	4.876566E-2
2.040000E-8	4.673376E-2
2.045000E-8	4.443459E-2
2.050000E-8	4.202578E-2
2.055000E-8	3.961353E-2
2.060000E-8	3.718416E-2
2.065000E-8	3.481989E-2
2.070000E-8	3.265093E-2
2.075000E-8	3.069098E-2
2.080000E-8	2.894005E-2
2.085000E-8	2.749750E-2
2.090000E-8	2.642844E-2
2.095000E-8	2.570888E-2
2.100000E-8	2.534910E-2
2.105000E-8	2.531483E-2
2.110000E-8	2.556497E-2
2.115000E-8	2.612348E-2
2.120000E-8	2.699038E-2
2.125000E-8	2.804231E-2
2.130000E-8	2.925529E-2
2.135000E-8	3.072182E-2
2.140000E-8	3.236653E-2
2.145000E-8	3.409005E-2
2.150000E-8	3.596433E-2
2.155000E-8	3.800309E-2
2.160000E-8	4.003842E-2
2.165000E-8	4.201550E-2
2.170000E-8	4.397887E-2
2.175000E-8	4.582917E-2
2.180000E-8	4.742248E-2
2.185000E-8	4.875881E-2
2.190000E-8	4.984500E-2
2.195000E-8	5.057142E-2
2.200000E-8	5.086267E-2
2.205000E-8	5.064337E-2
2.210000E-8	4.988269E-2
2.215000E-8	4.870056E-2
2.220000E-8	4.716550E-2
2.225000E-8	4.519527E-2
2.230000E-8	4.287212E-2
2.235000E-8	4.042904E-2
2.240000E-8	3.786946E-2
2.245000E-8	3.514883E-2
2.250000E-8	3.245904E-2
2.255000E-8	2.994058E-2
2.260000E-8	2.758659E-2
2.265000E-8	2.549644E-2
2.270000E-8	2.373180E-2
2.275000E-8	2.223785E-2
2.280000E-8	2.109684E-2
2.285000E-8	2.040811E-2
2.290000E-8	2.008603E-2
2.295000E-8	2.011686E-2
2.300000E-8	2.063769E-2
2.305000E-8	2.157997E-2
2.310000E-8	2.285119E-2
2.315000E-8	2.455416E-2
2.320000E-8	2.663745E-2
2.325000E-8	2.883040E-2
2.330000E-8	3.110558E-2
2.335000E-8	3.351097E-2
2.340000E-8	3.581357E-2
2.345000E-8	3.788316E-2
2.350000E-8	3.987737E-2
2.355000E-8	4.172425E-2
2.360000E-8	4.320106E-2
2.365000E-8	4.435921E-2
2.370000E-8	4.532205E-2
2.375000E-8	4.600392E-2
2.380000E-8	4.635342E-2
2.385000E-8	4.641167E-2
2.390000E-8	4.611357E-2
2.395000E-8	4.546939E-2
2.400000E-8	4.461962E-2
2.405000E-8	4.350602E-2
2.410000E-8	4.202578E-2
