Study Name	Ni_calibration_001
Sample Name	2017-11-16
Run Name	40_deg
Operator	Cody
Date	11/16/2017
Time	11:50 AM
Sign	FIX
Grating Spacing	05.20um
Channel	2
Number Traces	5000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	11:52:51 AM
	
Time	Amplitude
0.000000E+0	-3.340354E-4
5.000000E-11	-4.111205E-4
1.000000E-10	-5.652907E-4
1.500000E-10	-6.680708E-4
2.000000E-10	-6.937658E-4
2.500000E-10	-6.937658E-4
3.000000E-10	-6.937658E-4
3.500000E-10	-6.595058E-4
4.000000E-10	-5.909857E-4
4.500000E-10	-5.224656E-4
5.000000E-10	-5.053356E-4
5.500000E-10	-4.882056E-4
6.000000E-10	-4.111205E-4
6.500000E-10	-3.340354E-4
7.000000E-10	-2.569503E-4
7.500000E-10	-1.713002E-4
8.000000E-10	-8.565010E-6
8.500000E-10	1.713002E-4
9.000000E-10	3.254704E-4
9.500000E-10	4.710755E-4
1.000000E-9	6.509408E-4
1.050000E-9	8.051109E-4
1.100000E-9	8.565010E-4
1.150000E-9	8.393710E-4
1.200000E-9	8.136759E-4
1.250000E-9	7.451559E-4
1.300000E-9	5.824207E-4
1.350000E-9	4.196855E-4
1.400000E-9	3.682954E-4
1.450000E-9	3.682954E-4
1.500000E-9	2.997753E-4
1.550000E-9	2.997753E-4
1.600000E-9	4.796406E-4
1.650000E-9	6.423757E-4
1.700000E-9	7.365909E-4
1.750000E-9	9.164561E-4
1.800000E-9	1.079191E-3
1.850000E-9	1.113451E-3
1.900000E-9	1.130581E-3
1.950000E-9	1.164841E-3
2.000000E-9	1.079191E-3
2.050000E-9	9.592811E-4
2.100000E-9	8.821960E-4
2.150000E-9	7.365909E-4
2.200000E-9	5.995507E-4
2.250000E-9	5.824207E-4
2.300000E-9	5.567256E-4
2.350000E-9	5.053356E-4
2.400000E-9	5.995507E-4
2.450000E-9	7.708509E-4
2.500000E-9	8.479360E-4
2.550000E-9	9.335861E-4
2.600000E-9	1.062061E-3
2.650000E-9	1.079191E-3
2.700000E-9	1.010671E-3
2.750000E-9	9.764111E-4
2.800000E-9	9.421511E-4
2.850000E-9	7.794159E-4
2.900000E-9	5.738557E-4
2.950000E-9	4.368155E-4
3.000000E-9	3.083404E-4
3.050000E-9	1.284751E-4
3.100000E-9	-4.282505E-5
3.150000E-9	-1.456052E-4
3.200000E-9	-1.456052E-4
3.250000E-9	-2.569503E-5
3.300000E-9	9.421511E-5
3.350000E-9	1.969952E-4
3.400000E-9	3.682954E-4
3.450000E-9	5.738557E-4
3.500000E-9	7.194608E-4
3.550000E-9	8.565010E-4
3.600000E-9	1.027801E-3
3.650000E-9	1.096321E-3
3.700000E-9	1.019236E-3
3.750000E-9	9.507161E-4
3.800000E-9	9.507161E-4
3.850000E-9	9.078911E-4
3.900000E-9	8.308060E-4
3.950000E-9	8.393710E-4
4.000000E-9	9.250211E-4
4.050000E-9	9.849761E-4
4.100000E-9	1.036366E-3
4.150000E-9	1.130581E-3
4.200000E-9	1.276186E-3
4.250000E-9	1.361837E-3
4.300000E-9	1.396097E-3
4.350000E-9	1.421792E-3
4.400000E-9	1.404662E-3
4.450000E-9	1.276186E-3
4.500000E-9	1.122016E-3
4.550000E-9	1.010671E-3
4.600000E-9	8.736310E-4
4.650000E-9	6.423757E-4
4.700000E-9	4.282505E-4
4.750000E-9	3.340354E-4
4.800000E-9	2.569503E-4
4.850000E-9	1.370402E-4
4.900000E-9	1.199101E-4
4.950000E-9	1.969952E-4
5.000000E-9	2.655153E-4
5.050000E-9	3.340354E-4
5.100000E-9	4.710755E-4
5.150000E-9	5.995507E-4
5.200000E-9	7.023308E-4
5.250000E-9	7.965459E-4
5.300000E-9	8.565010E-4
5.350000E-9	8.821960E-4
5.400000E-9	8.993260E-4
5.450000E-9	8.907610E-4
5.500000E-9	8.565010E-4
5.550000E-9	8.736310E-4
5.600000E-9	8.993260E-4
5.650000E-9	8.821960E-4
5.700000E-9	8.907610E-4
5.750000E-9	9.335861E-4
5.800000E-9	9.421511E-4
5.850000E-9	9.078911E-4
5.900000E-9	9.078911E-4
5.950000E-9	9.250211E-4
6.000000E-9	9.421511E-4
6.050000E-9	9.335861E-4
6.100000E-9	8.479360E-4
6.150000E-9	7.280258E-4
6.200000E-9	6.338107E-4
6.250000E-9	5.224656E-4
6.300000E-9	3.854254E-4
6.350000E-9	3.340354E-4
6.400000E-9	3.768604E-4
6.450000E-9	3.083404E-4
6.500000E-9	1.969952E-4
6.550000E-9	2.312553E-4
6.600000E-9	3.511654E-4
6.650000E-9	3.854254E-4
6.700000E-9	3.597304E-4
6.750000E-9	3.426004E-4
6.800000E-9	2.740803E-4
6.850000E-9	1.284751E-4
6.900000E-9	-4.282505E-5
6.950000E-9	-2.226903E-4
7.000000E-9	-4.111205E-4
7.050000E-9	-6.509408E-4
7.100000E-9	-9.078911E-4
7.150000E-9	-1.070626E-3
7.200000E-9	-1.079191E-3
7.250000E-9	-1.036366E-3
7.300000E-9	-9.335861E-4
7.350000E-9	-7.023308E-4
7.400000E-9	-3.682954E-4
7.450000E-9	-3.426004E-5
7.500000E-9	2.997753E-4
7.550000E-9	5.652907E-4
7.600000E-9	7.622859E-4
7.650000E-9	9.764111E-4
7.700000E-9	1.096321E-3
7.750000E-9	1.002106E-3
7.800000E-9	8.308060E-4
7.850000E-9	6.766358E-4
7.900000E-9	4.025555E-4
7.950000E-9	3.426004E-5
8.000000E-9	-2.826453E-4
8.050000E-9	-5.909857E-4
8.100000E-9	-1.010671E-3
8.150000E-9	-1.473182E-3
8.200000E-9	-1.978517E-3
8.250000E-9	-2.620893E-3
8.300000E-9	-3.443134E-3
8.350000E-9	-4.402415E-3
8.400000E-9	-5.473041E-3
8.450000E-9	-6.552233E-3
8.500000E-9	-7.657119E-3
8.550000E-9	-8.770570E-3
8.600000E-9	-9.712721E-3
8.650000E-9	-1.032940E-2
8.700000E-9	-1.065487E-2
8.750000E-9	-1.060348E-2
8.800000E-9	-1.009815E-2
8.850000E-9	-9.284471E-3
8.900000E-9	-8.342320E-3
8.950000E-9	-7.220303E-3
9.000000E-9	-5.978377E-3
9.050000E-9	-4.907751E-3
9.100000E-9	-4.119770E-3
9.150000E-9	-3.426004E-3
9.200000E-9	-2.715108E-3
9.250000E-9	-1.884302E-3
9.300000E-9	-6.766358E-4
9.350000E-9	1.267621E-3
9.400000E-9	4.385285E-3
9.450000E-9	9.018955E-3
9.500000E-9	1.532280E-2
9.550000E-9	2.335678E-2
9.600000E-9	3.319798E-2
9.650000E-9	4.460657E-2
9.700000E-9	5.712005E-2
9.750000E-9	7.039582E-2
9.800000E-9	8.403131E-2
9.850000E-9	9.729851E-2
9.900000E-9	1.095636E-1
9.950000E-9	1.205611E-1
1.000000E-8	1.300939E-1
1.005000E-8	1.379652E-1
1.010000E-8	1.441748E-1
1.015000E-8	1.489027E-1
1.020000E-8	1.522602E-1
1.025000E-8	1.543843E-1
1.030000E-8	1.554892E-1
1.035000E-8	1.558061E-1
1.040000E-8	1.554378E-1
1.045000E-8	1.543158E-1
