Study Name	Ni_beamline_2018_01_28
Sample Name	temp_steps
Run Name	425C_spot01
Operator	Cody
Date	1/28/2018
Time	7:27 PM
Sign	FIX
Grating Spacing	04.76um
Channel	2
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	7:33:16 PM
	
Time	Amplitude
0.000000E+0	5.721253E-4
5.000000E-11	5.704124E-4
1.000000E-10	5.549958E-4
1.500000E-10	5.430052E-4
2.000000E-10	5.549958E-4
2.500000E-10	5.824030E-4
3.000000E-10	5.995325E-4
3.500000E-10	5.943937E-4
4.000000E-10	5.858289E-4
4.500000E-10	5.892548E-4
5.000000E-10	5.892548E-4
5.500000E-10	5.549958E-4
6.000000E-10	4.967555E-4
6.500000E-10	4.350893E-4
7.000000E-10	3.597195E-4
7.500000E-10	2.757850E-4
8.000000E-10	2.226835E-4
8.500000E-10	2.072670E-4
9.000000E-10	1.798598E-4
9.500000E-10	1.421749E-4
1.000000E-9	1.318972E-4
1.050000E-9	1.336101E-4
1.100000E-9	1.181936E-4
1.150000E-9	1.284713E-4
1.200000E-9	1.901375E-4
1.250000E-9	2.552296E-4
1.300000E-9	3.117569E-4
1.350000E-9	3.974044E-4
1.400000E-9	4.950426E-4
1.450000E-9	5.789771E-4
1.500000E-9	6.800412E-4
1.550000E-9	8.033736E-4
1.600000E-9	9.215671E-4
1.650000E-9	1.027770E-3
1.700000E-9	1.118556E-3
1.750000E-9	1.176797E-3
1.800000E-9	1.197352E-3
1.850000E-9	1.193926E-3
1.900000E-9	1.178510E-3
1.950000E-9	1.149389E-3
2.000000E-9	1.098001E-3
2.050000E-9	1.020918E-3
2.100000E-9	9.249930E-4
2.150000E-9	8.170772E-4
2.200000E-9	7.040225E-4
2.250000E-9	6.149491E-4
2.300000E-9	5.549958E-4
2.350000E-9	5.070332E-4
2.400000E-9	4.950426E-4
2.450000E-9	5.361534E-4
2.500000E-9	5.806901E-4
2.550000E-9	5.909678E-4
2.600000E-9	5.995325E-4
2.650000E-9	6.029584E-4
2.700000E-9	5.686994E-4
2.750000E-9	5.207368E-4
2.800000E-9	4.813390E-4
2.850000E-9	4.196728E-4
2.900000E-9	3.288864E-4
2.950000E-9	2.432389E-4
3.000000E-9	1.781468E-4
3.050000E-9	1.216195E-4
3.100000E-9	9.592520E-5
3.150000E-9	1.267583E-4
3.200000E-9	2.038411E-4
3.250000E-9	2.792109E-4
3.300000E-9	3.391641E-4
3.350000E-9	4.162469E-4
3.400000E-9	5.293016E-4
3.450000E-9	6.372174E-4
3.500000E-9	7.143002E-4
3.550000E-9	7.845311E-4
3.600000E-9	8.410585E-4
3.650000E-9	8.324937E-4
3.700000E-9	7.451333E-4
3.750000E-9	6.252268E-4
3.800000E-9	5.018944E-4
3.850000E-9	3.751361E-4
3.900000E-9	2.415260E-4
3.950000E-9	1.267583E-4
4.000000E-9	7.023095E-5
4.050000E-9	5.138850E-5
4.100000E-9	3.083310E-5
4.150000E-9	4.796260E-5
4.200000E-9	1.575914E-4
4.250000E-9	3.134699E-4
4.300000E-9	4.419411E-4
4.350000E-9	5.293016E-4
4.400000E-9	6.063843E-4
4.450000E-9	6.611987E-4
4.500000E-9	6.731894E-4
4.550000E-9	6.594858E-4
4.600000E-9	6.355045E-4
4.650000E-9	5.892548E-4
4.700000E-9	5.275886E-4
4.750000E-9	4.744872E-4
4.800000E-9	4.556447E-4
4.850000E-9	4.556447E-4
4.900000E-9	4.762001E-4
4.950000E-9	5.464311E-4
5.000000E-9	6.423563E-4
5.050000E-9	7.057354E-4
5.100000E-9	7.262908E-4
5.150000E-9	7.502721E-4
5.200000E-9	7.793923E-4
5.250000E-9	7.656887E-4
5.300000E-9	7.074484E-4
5.350000E-9	6.372174E-4
5.400000E-9	5.515699E-4
5.450000E-9	4.522188E-4
5.500000E-9	3.837008E-4
5.550000E-9	3.717102E-4
5.600000E-9	3.974044E-4
5.650000E-9	4.299505E-4
5.700000E-9	4.676354E-4
5.750000E-9	5.275886E-4
5.800000E-9	6.252268E-4
5.850000E-9	7.417074E-4
5.900000E-9	8.324937E-4
5.950000E-9	9.027247E-4
6.000000E-9	9.900851E-4
6.050000E-9	1.051751E-3
6.100000E-9	1.044900E-3
6.150000E-9	1.019205E-3
6.200000E-9	1.019205E-3
6.250000E-9	1.012353E-3
6.300000E-9	9.763815E-4
6.350000E-9	9.695297E-4
6.400000E-9	1.000363E-3
6.450000E-9	1.024344E-3
6.500000E-9	1.031196E-3
6.550000E-9	1.043187E-3
6.600000E-9	1.053464E-3
6.650000E-9	1.043187E-3
6.700000E-9	1.003789E-3
6.750000E-9	9.318448E-4
6.800000E-9	8.359196E-4
6.850000E-9	7.177261E-4
6.900000E-9	5.721253E-4
6.950000E-9	4.196728E-4
7.000000E-9	2.894886E-4
7.050000E-9	1.678691E-4
7.100000E-9	3.939785E-5
7.150000E-9	-4.453670E-5
7.200000E-9	-4.967555E-5
7.250000E-9	-2.569425E-5
7.300000E-9	3.425900E-5
7.350000E-9	1.918504E-4
7.400000E-9	4.162469E-4
7.450000E-9	6.320786E-4
7.500000E-9	8.787434E-4
7.550000E-9	1.219620E-3
7.600000E-9	1.673552E-3
7.650000E-9	2.254242E-3
7.700000E-9	3.037060E-3
7.750000E-9	4.090525E-3
7.800000E-9	5.459172E-3
7.850000E-9	7.213233E-3
7.900000E-9	9.398957E-3
7.950000E-9	1.203005E-2
8.000000E-9	1.508938E-2
8.050000E-9	1.851528E-2
8.100000E-9	2.220840E-2
8.150000E-9	2.607110E-2
8.200000E-9	2.997834E-2
8.250000E-9	3.377424E-2
8.300000E-9	3.731319E-2
8.350000E-9	4.051298E-2
8.400000E-9	4.332393E-2
8.450000E-9	4.568780E-2
8.500000E-9	4.759946E-2
8.550000E-9	4.913426E-2
8.600000E-9	5.036758E-2
8.650000E-9	5.132855E-2
8.700000E-9	5.208739E-2
8.750000E-9	5.277085E-2
8.800000E-9	5.344918E-2
8.850000E-9	5.408126E-2
8.900000E-9	5.462426E-2
8.950000E-9	5.506792E-2
9.000000E-9	5.534884E-2
9.050000E-9	5.538824E-2
9.100000E-9	5.510732E-2
9.150000E-9	5.450778E-2
9.200000E-9	5.360848E-2
9.250000E-9	5.237687E-2
9.300000E-9	5.081466E-2
9.350000E-9	4.898352E-2
9.400000E-9	4.695367E-2
9.450000E-9	4.478165E-2
9.500000E-9	4.254625E-2
9.550000E-9	4.039479E-2
9.600000E-9	3.844888E-2
9.650000E-9	3.681472E-2
9.700000E-9	3.553344E-2
9.750000E-9	3.465127E-2
9.800000E-9	3.418877E-2
9.850000E-9	3.410484E-2
9.900000E-9	3.436520E-2
9.950000E-9	3.494761E-2
1.000000E-8	3.579723E-2
1.005000E-8	3.679074E-2
1.010000E-8	3.785448E-2
1.015000E-8	3.898503E-2
1.020000E-8	4.014470E-2
1.025000E-8	4.125983E-2
1.030000E-8	4.230473E-2
1.035000E-8	4.329139E-2
1.040000E-8	4.424379E-2
1.045000E-8	4.519619E-2
1.050000E-8	4.613317E-2
1.055000E-8	4.702904E-2
1.060000E-8	4.787524E-2
1.065000E-8	4.863750E-2
1.070000E-8	4.923018E-2
1.075000E-8	4.964814E-2
1.080000E-8	4.990337E-2
1.085000E-8	4.994277E-2
1.090000E-8	4.969953E-2
1.095000E-8	4.920449E-2
1.100000E-8	4.848163E-2
1.105000E-8	4.748811E-2
1.110000E-8	4.622738E-2
1.115000E-8	4.477651E-2
1.120000E-8	4.315778E-2
1.125000E-8	4.137631E-2
1.130000E-8	3.952632E-2
1.135000E-8	3.775856E-2
1.140000E-8	3.612612E-2
1.145000E-8	3.461187E-2
1.150000E-8	3.324493E-2
1.155000E-8	3.211953E-2
1.160000E-8	3.130416E-2
1.165000E-8	3.076116E-2
1.170000E-8	3.048537E-2
1.175000E-8	3.048537E-2
1.180000E-8	3.075431E-2
1.185000E-8	3.125963E-2
1.190000E-8	3.197050E-2
1.195000E-8	3.288008E-2
1.200000E-8	3.395067E-2
1.205000E-8	3.513946E-2
1.210000E-8	3.641389E-2
1.215000E-8	3.774999E-2
1.220000E-8	3.909637E-2
1.225000E-8	4.041877E-2
1.230000E-8	4.167265E-2
1.235000E-8	4.281519E-2
1.240000E-8	4.383782E-2
1.245000E-8	4.475082E-2
1.250000E-8	4.548739E-2
1.255000E-8	4.597215E-2
1.260000E-8	4.622738E-2
1.265000E-8	4.626678E-2
1.270000E-8	4.604924E-2
1.275000E-8	4.554049E-2
1.280000E-8	4.474397E-2
1.285000E-8	4.367509E-2
1.290000E-8	4.233727E-2
1.295000E-8	4.080247E-2
1.300000E-8	3.914776E-2
1.305000E-8	3.738342E-2
1.310000E-8	3.554371E-2
1.315000E-8	3.376053E-2
1.320000E-8	3.209897E-2
1.325000E-8	3.058301E-2
1.330000E-8	2.922978E-2
1.335000E-8	2.811636E-2
1.340000E-8	2.728044E-2
1.345000E-8	2.673401E-2
1.350000E-8	2.647536E-2
1.355000E-8	2.651647E-2
1.360000E-8	2.688304E-2
1.365000E-8	2.752197E-2
1.370000E-8	2.834590E-2
1.375000E-8	2.935140E-2
1.380000E-8	3.054704E-2
1.385000E-8	3.183518E-2
1.390000E-8	3.314216E-2
1.395000E-8	3.449539E-2
1.400000E-8	3.588630E-2
1.405000E-8	3.721727E-2
1.410000E-8	3.844031E-2
1.415000E-8	3.957771E-2
1.420000E-8	4.058835E-2
1.425000E-8	4.142770E-2
1.430000E-8	4.210774E-2
1.435000E-8	4.262334E-2
1.440000E-8	4.295565E-2
1.445000E-8	4.308583E-2
1.450000E-8	4.298648E-2
1.455000E-8	4.262847E-2
1.460000E-8	4.201695E-2
1.465000E-8	4.112964E-2
1.470000E-8	3.994771E-2
1.475000E-8	3.852253E-2
1.480000E-8	3.695176E-2
1.485000E-8	3.529362E-2
1.490000E-8	3.356354E-2
1.495000E-8	3.181805E-2
1.500000E-8	3.013593E-2
1.505000E-8	2.856516E-2
1.510000E-8	2.716225E-2
1.515000E-8	2.596490E-2
1.520000E-8	2.501078E-2
1.525000E-8	2.430162E-2
1.530000E-8	2.384426E-2
1.535000E-8	2.364385E-2
1.540000E-8	2.372778E-2
1.545000E-8	2.407037E-2
1.550000E-8	2.462880E-2
1.555000E-8	2.540134E-2
1.560000E-8	2.641026E-2
1.565000E-8	2.758877E-2
1.570000E-8	2.887862E-2
1.575000E-8	3.028667E-2
1.580000E-8	3.178379E-2
1.585000E-8	3.326035E-2
1.590000E-8	3.468724E-2
1.595000E-8	3.607987E-2
1.600000E-8	3.736801E-2
1.605000E-8	3.844545E-2
1.610000E-8	3.929336E-2
1.615000E-8	3.989632E-2
1.620000E-8	4.020808E-2
1.625000E-8	4.025090E-2
1.630000E-8	4.007961E-2
1.635000E-8	3.969077E-2
1.640000E-8	3.907068E-2
1.645000E-8	3.821934E-2
1.650000E-8	3.714703E-2
1.655000E-8	3.590172E-2
1.660000E-8	3.455192E-2
1.665000E-8	3.309077E-2
1.670000E-8	3.152513E-2
1.675000E-8	2.995607E-2
1.680000E-8	2.846238E-2
1.685000E-8	2.699438E-2
1.690000E-8	2.556749E-2
1.695000E-8	2.429134E-2
1.700000E-8	2.321047E-2
1.705000E-8	2.231974E-2
1.710000E-8	2.165340E-2
1.715000E-8	2.125942E-2
1.720000E-8	2.113952E-2
1.725000E-8	2.130739E-2
1.730000E-8	2.177331E-2
1.735000E-8	2.252015E-2
1.740000E-8	2.351024E-2
1.745000E-8	2.469731E-2
1.750000E-8	2.601115E-2
1.755000E-8	2.742776E-2
1.760000E-8	2.894200E-2
1.765000E-8	3.046996E-2
1.770000E-8	3.190369E-2
1.775000E-8	3.321581E-2
1.780000E-8	3.439946E-2
1.785000E-8	3.539469E-2
1.790000E-8	3.618778E-2
1.795000E-8	3.680273E-2
1.800000E-8	3.722754E-2
1.805000E-8	3.742111E-2
1.810000E-8	3.737657E-2
1.815000E-8	3.710764E-2
1.820000E-8	3.658519E-2
1.825000E-8	3.580237E-2
1.830000E-8	3.477631E-2
1.835000E-8	3.355840E-2
1.840000E-8	3.217091E-2
1.845000E-8	3.067037E-2
1.850000E-8	2.907904E-2
1.855000E-8	2.742604E-2
1.860000E-8	2.578504E-2
1.865000E-8	2.420056E-2
1.870000E-8	2.269316E-2
1.875000E-8	2.133479E-2
1.880000E-8	2.023850E-2
1.885000E-8	1.940944E-2
1.890000E-8	1.881847E-2
1.895000E-8	1.848787E-2
1.900000E-8	1.845875E-2
1.905000E-8	1.871912E-2
1.910000E-8	1.923814E-2
1.915000E-8	2.001068E-2
1.920000E-8	2.100077E-2
1.925000E-8	2.215701E-2
1.930000E-8	2.342802E-2
